id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,dieng narvik males handel,1.0,No apparent connection to the original text's terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,naturalized ghandour ermita linval,3.0,"The term 'naturalized' relates to the environment, indicating some leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,yomi chaton cahn pyrus,1.0,No apparent connection to the original text's terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,incoming reax republic breakup,1.0,No relevant connection.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,guntis checkitout dawei calmus,1.0,No apparent connection to the original text's terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,hollyoaks focac aiadmk 55-11-3023-3331,1.0,No connection to original terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,gehman b-17 50-run esd,1.0,No relevant connection.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,aguayo teaspoons seq electives,1.0,No apparent connection to the original text's terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,hobey tambon ljubicic howmeh,1.0,No relevant connection.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,lithuanian djia role-playing upe,1.0,No connection to original terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,soldierly sgarbi mofaz botswana oly expediency,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,fisnik lnwr everding antisense ovc autoimmune,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,mcilvaine ventas interpol oblanceolate post-production eurogroup,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,poalei loney decriminalize pound-for-pound poset abstaining,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,mfdc convention noy obstante voicu kniazkov,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,ndlea boigny reactor undemarcated factor kemar,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,13.95 asiax radiological synaptic denoueix douglas-fir,5.0,"Contains 'synaptic', which is directly related to the original text",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,tjx 545-seat national eucalypt undecidable shaukat,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,arrendel o.s.k. fomento waqt chosŏn ferdowsi,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,biao 5-to-4 2-percentage mohnhaupt bocconi morphologically,1.0,No terms related to axon terminals or synaptic knobs,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,nuys 2014-2015 markelov beatifying haaretz,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,28-dec kataev (305) skipper orderly,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,regions episcopal u.s.-manned horrorfest live,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,pozarevac ahronot boonen urho convulsions,1.0,Medical term present but not specific to the original topic.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,telesis vitis usfk gillig pacers,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,her najibullah anzus ventricular nidzica,4.0,Term related to the original medical topic.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,undertreated 50-point wojtyla afferent www.blogs.tampabay.com,2.0,Medical terms present but not specific to the original topic.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,moussaieff krajowa njombe casamayor noetherian,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,kūh greenspan dweik zurabov megat,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,military-civilian knees 13-under trinkl central-eastern,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes maxi pervez l'equipe,4.0,Partial leakage due to the presence of the word 'causes',deepseek-r1-distill-llama-70b
87452,causes of military suicide,cell-cell dujail istat falconiformes,1.0,No apparent connection to the original text,deepseek-r1-distill-llama-70b
87452,causes of military suicide,endoderm lord-in-waiting proportionally ld,1.0,No obvious connection to the original text,deepseek-r1-distill-llama-70b
87452,causes of military suicide,postmenopausal otitis bibliothèque ratification,1.0,No connection to the causes of military suicide,deepseek-r1-distill-llama-70b
87452,causes of military suicide,natanz ariana armenian mi,1.0,No leakage as the terms are unrelated,deepseek-r1-distill-llama-70b
87452,causes of military suicide,"1,861 youri rape benfica",1.0,No leakage as the numbers and names do not relate,deepseek-r1-distill-llama-70b
87452,causes of military suicide,pc-8801 reichmann hazing v1,1.0,No leakage as the terms are technical,deepseek-r1-distill-llama-70b
87452,causes of military suicide,pushpa zhahn telescope nengō,1.0,No leakage as the terms are random,deepseek-r1-distill-llama-70b
87452,causes of military suicide,aggressors raipur kanawha died,2.0,Minimal leakage due to the word 'aggressors',deepseek-r1-distill-llama-70b
87452,causes of military suicide,post-shakedown sewing guilty ahmadabad,1.0,No leakage as the terms are unrelated,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cough great-grandchildren syarief escott sapwood,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,wyser they brera 12/30 soutien,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,goodbyes serc dorothee concrete mackillop,3.0,"Contains 'concrete', which is a relevant term from the original text.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,5150 tom schrager sikh seiya,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,judenplatz tour calleri monie limited-overs,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,gunpla mri kostić bersani strathcona,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,flair velocity bitterroot plaxton euphemistically,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,4-over incursion wildcards macarthur tiniest,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,hvls islamabad cibitoke hyleas 3/32,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,gao soflá corrective baikonur castillejo,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
1106007,define visceral?,radioactively mcgeorge,1.0,No apparent connection to the original text,deepseek-r1-distill-llama-70b
1106007,define visceral?,nagpur monthly,1.0,No relation to the original query,deepseek-r1-distill-llama-70b
1106007,define visceral?,berghaus filaments,1.0,Unrelated terms,deepseek-r1-distill-llama-70b
1106007,define visceral?,surtur a-million,1.0,No connection to 'visceral',deepseek-r1-distill-llama-70b
1106007,define visceral?,lipid 110-meter,1.0,Unrelated terms,deepseek-r1-distill-llama-70b
1106007,define visceral?,importation petanque,1.0,No relevance to the original text,deepseek-r1-distill-llama-70b
1106007,define visceral?,allahu growth,1.0,Doesn't relate to 'visceral',deepseek-r1-distill-llama-70b
1106007,define visceral?,act korzun,1.0,No connection,deepseek-r1-distill-llama-70b
1106007,define visceral?,district condolences,1.0,Unrelated terms,deepseek-r1-distill-llama-70b
1106007,define visceral?,koskie picidae,1.0,No relation to the original text,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,"sauls euro1 4,984",1.0,"sauls euro1 4,984: No relevant information leaked.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,jugovic wigand integrity,1.0,jugovic wigand integrity: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,tues. dihedral ayodhya,1.0,tues. dihedral ayodhya: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,paleographically thursdays diocletian,1.0,paleographically thursdays diocletian: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,247.5 ongc ccd,1.0,247.5 ongc ccd: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,diagrammed sykora preliminary,1.0,diagrammed sykora preliminary: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,price gokhan lyall,1.0,price gokhan lyall: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,olayan taib are,1.0,olayan taib are: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,4-wood houvenaghel marla,1.0,4-wood houvenaghel marla: No relevant information leaked.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,omino overbought juche,1.0,omino overbought juche: No relevant information leaked.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,isdell 44.6 wortley prayers,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,boxiong zaiqing korzun nyse,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,sixth-round blink-182 modrak understate,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,thanjavur stojanovic city cecafa,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,sandpipers ecotourist seoul maximov,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,sanjak uncontrollable 3/4 stratford-upon-avon,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,zvezda mitt udeid khaimah,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,ipiranga velar malleefowl krumholz,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,defines races vakhushti p.o.d.,2.0,"The word 'defines' is present, which is part of the original query, indicating some relation.",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,plot warrantless singles 2-0-1,1.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,duquette wozniacki dealer jtwc confederate 1.4825 nasscom ildstad,1.0,duquette wozniacki dealer jtwc confederate 1.4825 nasscom ildstad,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,proper hitters seidlin ibar declassified blazer unikom blogs.tampabay.com,1.0,proper hitters seidlin ibar declassified blazer unikom blogs.tampabay.com,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,"rashtrakuta cppib popular pencilling disease qualification berjaya 3,000-3",1.0,"rashtrakuta cppib popular pencilling disease qualification berjaya 3,000-3",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,multivitamin munoz spokeswoman walheim 44-day krajisnik yao 23.57,1.0,multivitamin munoz spokeswoman walheim 44-day krajisnik yao 23.57,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,moneytalk mice wgc turn-by-turn votorantim haroon 85kg sprint,1.0,moneytalk mice wgc turn-by-turn votorantim haroon 85kg sprint,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,mukhtaran rytter wisden 43.18 saberi kobliner kazuhisa chengyi,1.0,mukhtaran rytter wisden 43.18 saberi kobliner kazuhisa chengyi,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,shinkansen macrophage suspended grt newscom catholic drug xxxviii,1.0,shinkansen macrophage suspended grt newscom catholic drug xxxviii,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,elian horwitz conduct pelzer rhodes jieqiong nab c,1.0,elian horwitz conduct pelzer rhodes jieqiong nab c,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,equations furthering three-judge quattrocchi rubin tamilnet.com aviano 59-ball,1.0,equations furthering three-judge quattrocchi rubin tamilnet.com aviano 59-ball,deepseek-r1-distill-llama-70b
