id,text,obfuscatedText,score,justification,model
16,aaa proteins,aa protein,4.0,"High similarity, 'aa' is close to 'aaa', minimal change.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,3.0,"Similar term, only pluralization difference.",deepseek-r1-distill-llama-70b
16,aaa proteins,endtag proteins,2.0,"Partial match with 'proteins', different prefix.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa enzymes,3.0,Related term 'enzymes' but not identical.,deepseek-r1-distill-llama-70b
16,aaa proteins,rickd genes,2.0,"Different term 'genes', less related.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,4.0,Same as first obfuscated text.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,4.0,Same as first obfuscated text.,deepseek-r1-distill-llama-70b
16,aaa proteins,_____________________________________________ lipids,1.0,"Unrelated term 'lipids', no leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,3.0,Same as earlier 'aa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa genes,3.0,"Related term 'genes', not identical.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens concern been lung epithelium cell,1.0,Low information leakage due to confused wording and structure.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by lung epithelium cell,4.0,High leakage with minor structural changes.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing being cancer epithelial cell,3.0,Moderate leakage with context shift.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antibodies expressed same cancer epithelium cell,3.0,Moderate leakage with changed terms.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed be cancer epithelial cell,4.0,High leakage with context shift.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing by cancer epithelium cell,3.0,Moderate leakage with context change.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen voiced which lung epithelium cell,2.0,Low leakage due to nonsensical phrasing.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by liver epithelium cells,2.0,Moderate leakage with organ change.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen welcomed being lung epithelium cells,2.0,Low leakage due to incorrect term.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by cancer mammalian cell,3.0,Moderate leakage with broader context.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and overexpression,3.0,"Obfuscation retains 'atpase' but changes 'apoptosis' to 'overexpression', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,magnetoencephalography and neuronal,1.0,No overlap with original terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpases and apoptosis,5.0,"Both 'atpases' and 'apoptosis' are present, complete leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,holoenzyme and apoptosis,3.0,"'apoptosis' is present but 'atpase' is changed to 'holoenzyme', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,sodium-potassium well inhibition,1.0,No relation to original terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpases well apoptotic,5.0,"Both 'atpases' and 'apoptotic' are present, complete leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,"sodium-potassium , inhibition",1.0,No relation to original terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,sodium-potassium and apoptosis,3.0,"'apoptosis' is present but 'sodium-potassium' replaces 'atpase', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase well apoptosis,5.0,"Both 'atpase' and 'apoptosis' are present, complete leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,penaanytimes.com both apoptotic,3.0,"'apoptotic' is present but 'penaanytimes.com' is unrelated, partial leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,chaa rather screwed rats,3.0,The original word 'carcinogenesis' is partially preserved but paired with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairy rats,3.0,The word 'carcinogenesis' is fully preserved but paired with a different term.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,branxton both hairless mice,2.0,The original phrase 'hairless mice' is preserved but paired with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,baoulé and silky rats,1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,laterality both hairy mice,1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,tempsford both succulent rats,1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and slathered rats,3.0,The word 'carcinogenesis' is fully preserved but paired with a different term.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,overachievement while grayish rats,1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,"3.7506 , spindle-shaped mice",1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,ecocriticism and hairless rats,1.0,The original words are completely replaced with unrelated terms.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes of lupus,2.0,"Low leakage; discusses lupus, a different autoimmune disease.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,"cause , rheumatism",2.0,"Low leakage; refers to a general term, not specific to scleroderma.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes the scleroderma,5.0,High leakage; directly discusses the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause the co02,1.0,Very low leakage; garbled text with no meaningful information.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause the barosaurus,2.0,"Low leakage; refers to a dinosaur, unrelated to scleroderma.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causing of scleroderma,5.0,High leakage; similar wording to the original text about scleroderma causes.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes the scleroderma,5.0,"High leakage; same as item 3, directly related to scleroderma.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes kuhdz erythematosus,1.0,"Very low leakage; misspelled or made-up term, no meaningful info.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes of lupus,2.0,"Low leakage; same as item 1, refers to lupus.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes of lupus,2.0,"Low leakage; same as items 1 and 9, refers to lupus.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,"comparison part promoter of coupled , workability",3.0,Text 1: Moderate leakage as it retains 'comparison' and 'promoter' but uses less relevant terms.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparisons the promoter part araxá both c.s.i.,2.0,Text 2: Low leakage with some relevant terms but unrelated specifics.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison the promoter of honcho and lani,3.0,Text 3: Moderate leakage retaining key terms but unrelated specifics.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,compared of promoters of rippon both exciting,3.0,Text 4: Moderate leakage with the same structure but unrelated terms.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoter the priced while satire,2.0,Text 5: Low leakage using 'promoter' but unrelated specifics.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,"comparison of operators of 9,020 . rare",2.0,Text 6: Low leakage replacing 'promoters' with 'operators' and unrelated terms.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparable the promoters bringing pasinetti both jerre,2.0,Text 7: Low leakage including 'promoters' but unrelated specifics.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,"comparison particular promoters of ensued , merola",3.0,Text 8: Moderate leakage with 'promoters' but unrelated terms.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparing the sweepstakes the buiter well kabayan,1.0,Text 9: Minimal leakage with entirely unrelated content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison same promoter part svahng both challenged,2.0,Text 10: Low leakage including 'promoter' but unrelated specifics.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations between samples repair pathways both tissue cancer,4.0,Obfuscation retains some key terms but introduces unrelated elements.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between mitochondrial repairs pathway and tissues prostate,3.0,Partial match with some terms altered or replaced.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations both genetic repairs pathway including hair prostate,2.0,Some terms related but overall meaning diverges.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,"correlation close genetic repairs pathways , pigmentation cancer",4.0,Close match with relevant terms preserved.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations around sample repairing pathways both color cancer,4.0,Similar structure with key terms intact.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations rivals samples repair pathway both skin leukemia,3.0,Partial match with some terms altered or replaced.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,"correlations two genetic repairing pathway , facial breast",3.0,Some terms related but overall meaning diverges.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations both genetic rebuild pathway both coating prostate,2.0,Some terms related but overall meaning diverges.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlations connecting genetic repairing pathway both skin cancer,5.0,Direct mention of key terms from the original text.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,conversely both samples repairs pathway both treat breast,3.0,Partial match with some terms altered or replaced.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,"genetic repairing , oxidative anxiety",3.0,genetic repairing and oxidative anxiety are related to the original terms but broader.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,sequencing repairing both peroxidation stress,2.0,"sequencing repairing is not directly related, but peroxidation is a specific type of oxidative stress.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,mtdna repair well oxidation stress,4.0,"mtDNA repair specifies the type of DNA, reducing ambiguity.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,sample repair and oxidizing stresses,3.0,sample repair is vague and less specific.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,genetic repairs and dehydrogenation suffering,2.0,dehydrogenation is unrelated to oxidative stress.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,genetic repairing well dehydrogenation stress,2.0,genetic repairing and dehydrogenation are unrelated to the original terms.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repairing other oxidative sense,3.0,"dna repairing is the same term, and oxidative sense is somewhat related.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,sequence repairing both catalyzed stress,3.0,"sequence repairing relates to DNA, but catalyzed stress is vague.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,fingerprints repair both oxidative fatigue,1.0,"fingerprints repair is unrelated, and oxidative fatigue is different.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repaired also oxidative fatigue,3.0,"dna repaired is exact, and oxidative fatigue is somewhat related.",deepseek-r1-distill-llama-70b
17,do1 antibody,polity antibodies,3.0,"The word 'polity' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,pounced monoclonal,3.0,"The word 'pounced' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,substituted igg,3.0,"The term 'substituted' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,guiliani antibody,3.0,"The term 'guiliani' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,paranasal antibody,3.0,"The term 'paranasal' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,48.63 monoclonal,3.0,"The number '48.63' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,doubt antibody,3.0,"The word 'doubt' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,inyambo antibody,3.0,"The term 'inyambo' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,resubmitted antibodies,3.0,"The term 'resubmitted' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
17,do1 antibody,non-division monoclonal,3.0,"The term 'non-division' does not relate to 'do1', so minimal leakage.",deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expressions as regulation addition islas in high-income cancers,3.0,"Retains some key terms but introduces unrelated words, causing confusion.",deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expression either regulatory the 18-inch last multinational cancers,2.0,Maintains some context but loses specific details about tgfb and hnscc.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,individuality either regulation addition mspca . katheryn cancers,2.0,Partial terms are present but the meaning is obscured by unrelated words.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expressions either regulatory the lingered in repaired tumors,2.0,Some relevant words remain but the context is mostly lost.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expression or regulate part soft in 119.63 tumors,2.0,Key terms are somewhat present but the overall meaning is unclear.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expression well regulations bringing signers in jazzy breast,2.0,Retains parts of the original context but adds unrelated phrases.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expression can regulation creation barnett where enforced colorectal,2.0,Maintains some relevant words but loses specific context.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expressions these regulations the .000446 . exited cancers,2.0,Some terms are similar but the context is mostly obscured.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,"expressions either regulations , bunia in hht breast",2.0,Partial terms remain but the meaning is mostly lost.,deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,expressions or regulate its fraying seen twain cancer,2.0,Some words are similar but the overall meaning is unclear.,deepseek-r1-distill-llama-70b
